seed,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0
80141,154.00,1391.00,5,2,10,10,2,8,6,21,60751.0,80277.0,51539.0,60751.0,60751.0,60751.0,1,19526.0
80142,187.00,1509.00,5,2,10,10,2,8,6,21,43462.0,81049.0,57298.0,43462.0,56259.0,43462.0,1,37587.0
80143,187.00,1528.00,5,2,10,10,2,8,6,21,52104.0,54185.0,70734.0,52104.0,44290.0,52104.0,2,18630.0
80144,154.00,1462.00,5,2,10,10,2,8,6,21,89329.0,76362.0,72730.0,89329.0,89589.0,89329.0,4,260.0
80145,154.00,1384.00,5,2,10,10,2,8,6,21,61691.0,83138.0,58357.0,61691.0,61691.0,61691.0,1,21447.0
80146,154.00,1391.00,5,2,10,10,2,8,6,21,68743.0,58265.0,67417.0,68743.0,68743.0,68743.0,0,0.0
80147,154.00,1391.00,5,2,10,10,2,8,6,21,56465.0,62708.0,54152.0,56465.0,56465.0,56465.0,1,6243.0
80148,216.00,1674.00,5,2,10,10,2,8,6,21,127927.0,70590.0,113727.0,127927.0,127430.0,127927.0,0,0.0
80149,187.00,1509.00,5,2,10,10,2,8,6,21,82692.0,55821.0,50842.0,82692.0,78839.0,82692.0,0,0.0
80150,206.00,1610.00,5,2,10,10,2,8,6,21,89307.0,108782.0,77100.0,89307.0,88808.0,89307.0,1,19475.0
80151,187.00,1516.00,4,2,11,10,2,8,6,21,83455.0,55252.0,90540.0,83455.0,59749.0,83455.0,2,7085.0
80152,216.00,1665.00,5,2,10,10,2,8,6,21,81011.0,62343.0,90754.0,81011.0,80513.0,81011.0,2,9743.0
80153,216.00,1665.00,5,2,10,10,2,8,6,21,140164.0,139448.0,126735.0,140164.0,139663.0,140164.0,0,0.0
80154,154.00,1462.00,5,2,10,10,2,8,6,21,71582.0,77767.0,71126.0,71582.0,71799.0,71582.0,1,6185.0
80155,154.00,1462.00,5,2,10,10,2,8,6,21,74142.0,97621.0,96725.0,74142.0,74382.0,74142.0,1,23479.0
80156,206.00,1603.00,5,2,10,10,2,8,6,21,66256.0,69646.0,66701.0,66256.0,65755.0,66256.0,1,3390.0
80157,216.00,1674.00,5,2,10,10,2,8,6,21,122946.0,94814.0,124389.0,122946.0,122449.0,122946.0,2,1443.0
80158,187.00,1509.00,5,2,10,10,2,8,6,21,83482.0,85940.0,73412.0,83482.0,73986.0,83482.0,1,2458.0
80159,154.00,1542.00,5,2,10,10,2,8,6,21,69170.0,71807.0,61357.0,69170.0,69170.0,69170.0,1,2637.0
80160,206.00,1681.00,5,2,10,10,2,8,6,21,103469.0,112747.0,100326.0,103469.0,102971.0,103469.0,1,9278.0
80161,216.00,1655.00,5,2,10,10,2,8,6,21,131351.0,124757.0,128947.0,131351.0,130850.0,131351.0,0,0.0
80162,187.00,1509.00,5,2,10,10,2,8,6,21,105937.0,102360.0,93697.0,105935.0,91955.0,105937.0,0,0.0
80163,216.00,1665.00,5,2,10,10,2,8,6,21,109523.0,72986.0,106126.0,109523.0,109022.0,109523.0,0,0.0
80164,206.00,1603.00,5,2,10,10,2,8,6,21,96551.0,55149.0,102807.0,96551.0,96053.0,96551.0,2,6256.0
80165,206.00,1505.00,5,1,11,10,2,8,6,21,80461.0,51045.0,83483.0,80461.0,79995.0,80461.0,2,3022.0
80166,216.00,1655.00,5,2,10,10,2,8,6,21,86728.0,61604.0,81487.0,86728.0,86230.0,86728.0,0,0.0
80167,154.00,1384.00,5,2,10,10,2,8,6,21,51407.0,71460.0,59245.0,51407.0,51407.0,51407.0,1,20053.0
80168,187.00,1674.00,5,2,10,10,2,8,6,21,114252.0,54512.0,92543.0,114278.0,135452.0,114252.0,4,21200.0
80169,187.00,1509.00,5,2,10,10,2,8,6,21,110432.0,99116.0,101094.0,110432.0,104091.0,110432.0,0,0.0
80170,154.00,1384.00,5,2,10,10,2,8,6,21,81205.0,70572.0,74799.0,81205.0,81205.0,81205.0,0,0.0
80171,206.00,1693.00,5,2,10,10,2,8,6,21,110290.0,96873.0,94687.0,110290.0,109789.0,110290.0,0,0.0
80172,187.00,1516.00,5,2,10,10,2,8,6,21,104250.0,48809.0,100960.0,104250.0,121551.0,104250.0,4,17301.0
80173,187.00,1516.00,5,2,10,10,2,8,6,21,45512.0,127087.0,63281.0,45512.0,40888.0,45512.0,1,81575.0
80174,206.00,1680.00,5,2,10,10,2,8,6,21,82570.0,70980.0,83120.0,82531.0,82033.0,82570.0,2,550.0
80175,154.00,1464.00,5,2,10,10,2,8,6,21,88859.0,52581.0,104701.0,88859.0,88851.0,88859.0,2,15842.0
80176,154.00,1560.00,5,2,10,10,2,8,6,21,67168.0,48542.0,57565.0,67168.0,67168.0,67168.0,0,0.0
80177,154.00,1462.00,5,2,10,10,2,8,6,21,68536.0,63399.0,67631.0,68536.0,68775.0,68536.0,4,239.0
80178,187.00,1509.00,5,2,10,10,2,8,6,21,120311.0,153846.0,83398.0,120311.0,82572.0,120311.0,1,33535.0
80179,206.00,1610.00,5,2,10,10,2,8,6,21,68288.0,66178.0,69502.0,68288.0,67787.0,68288.0,2,1214.0
80180,187.00,1516.00,5,2,10,10,2,8,6,21,70911.0,37310.0,52056.0,70911.0,81138.0,70911.0,4,10227.0
80181,154.00,1384.00,5,2,10,10,2,8,6,21,73039.0,65195.0,73354.0,73039.0,73039.0,73039.0,2,315.0
80182,216.00,1674.00,5,2,10,10,2,8,6,21,96671.0,95687.0,91565.0,96671.0,96174.0,96671.0,0,0.0
80183,154.00,1391.00,5,2,10,10,2,8,6,21,27910.0,24270.0,32275.0,27910.0,27910.0,27910.0,2,4365.0
80184,154.00,1384.00,5,2,10,10,2,8,6,21,53959.0,107178.0,79138.0,53959.0,53959.0,53959.0,1,53219.0
80185,154.00,1384.00,5,2,10,10,2,8,6,21,70709.0,28273.0,67748.0,70709.0,70709.0,70709.0,0,0.0
80186,206.00,1610.00,5,2,10,10,2,8,6,21,73335.0,98444.0,69390.0,73335.0,72834.0,73335.0,1,25109.0
80187,206.00,1681.00,5,2,10,10,2,8,6,21,96604.0,67733.0,96313.0,96604.0,96106.0,96604.0,0,0.0
80188,187.00,1509.00,5,2,10,10,2,8,6,21,44861.0,73482.0,68072.0,44861.0,60706.0,44861.0,1,28621.0
80189,187.00,1509.00,5,2,10,10,2,8,6,21,83895.0,58879.0,91339.0,83895.0,95853.0,83895.0,4,11958.0
80190,206.00,1697.00,5,2,10,10,2,8,6,21,112077.0,92493.0,108696.0,112077.0,111545.0,112077.0,0,0.0
80191,154.00,1551.00,5,2,10,10,2,8,6,21,64138.0,52608.0,70433.0,64138.0,64138.0,64138.0,2,6295.0
80192,154.00,1394.00,5,2,10,10,2,8,6,21,36547.0,78076.0,35212.0,36547.0,36547.0,36547.0,1,41529.0
80193,187.00,1516.00,5,2,10,10,2,8,6,21,72612.0,77067.0,56567.0,72612.0,89992.0,72612.0,4,17380.0
80194,206.00,1613.00,5,2,10,10,2,8,6,21,67648.0,78372.0,79285.0,67648.0,67147.0,67648.0,2,11637.0
80195,206.00,1603.00,5,2,10,10,2,8,6,21,53895.0,73976.0,49333.0,53895.0,53394.0,53895.0,1,20081.0
80196,187.00,1509.00,5,2,10,10,2,8,6,21,70959.0,70454.0,58646.0,70959.0,77892.0,70959.0,4,6933.0
80197,154.00,1391.00,5,2,10,10,2,8,6,21,76148.0,34245.0,73231.0,76148.0,76148.0,76148.0,0,0.0
80198,154.00,1384.00,5,2,10,10,2,8,6,21,95055.0,88374.0,74053.0,95055.0,95055.0,95055.0,0,0.0
80199,206.00,1603.00,5,2,10,10,2,8,6,21,95625.0,62063.0,96454.0,95625.0,95127.0,95625.0,2,829.0
80200,206.00,1613.00,5,2,10,10,2,8,6,21,103742.0,45328.0,85048.0,103742.0,103241.0,103742.0,0,0.0
80201,206.00,1603.00,5,2,10,10,2,8,6,21,68137.0,90321.0,74435.0,68137.0,67636.0,68137.0,1,22184.0
80202,187.00,1667.00,5,2,10,10,2,8,6,21,121869.0,77197.0,118000.0,121869.0,113675.0,121869.0,0,0.0
80203,187.00,1667.00,5,2,10,10,2,8,6,21,67423.0,78585.0,78861.0,67423.0,70391.0,67423.0,2,11438.0
80204,154.00,1542.00,5,2,10,10,2,8,6,21,95795.0,58158.0,66300.0,95795.0,95795.0,95795.0,0,0.0
80205,187.00,1667.00,5,2,10,10,2,8,6,21,104246.0,114968.0,103062.0,104246.0,90468.0,104246.0,1,10722.0
80206,206.00,1610.00,5,2,10,10,2,8,6,21,101788.0,56335.0,100470.0,101788.0,101242.0,101788.0,0,0.0
80207,154.00,1391.00,5,2,10,10,2,8,6,21,29749.0,54272.0,32181.0,29749.0,29749.0,29749.0,1,24523.0
80208,187.00,1528.00,5,2,10,10,2,8,6,21,97619.0,58520.0,83685.0,97619.0,88448.0,97619.0,0,0.0
80209,154.00,1384.00,5,2,10,10,2,8,6,21,32910.0,64045.0,33559.0,32910.0,32910.0,32910.0,1,31135.0
80210,154.00,1397.00,5,2,10,10,2,8,6,21,68944.0,105564.0,62911.0,68944.0,68944.0,68944.0,1,36620.0
80211,206.00,1603.00,5,2,10,10,2,8,6,21,80659.0,94544.0,73111.0,80659.0,80158.0,80659.0,1,13885.0
80212,206.00,1613.00,5,2,10,10,2,8,6,21,92395.0,108159.0,100311.0,92395.0,91897.0,92395.0,1,15764.0
