seed,p_milk,cash,cow_count,shed_wheat,hands,quads,score_0,score_1,score_2,score_3,score_4,best_n,gain_vs_base4
40092,154.00,1358.00,4,11,10,2,48230.0,57933.0,57933.0,48230.0,48230.0,1,9703.0
40093,187.00,1676.00,5,10,10,2,106509.0,111598.0,90768.0,106509.0,106509.0,1,5089.0
40094,206.00,1681.00,5,10,10,2,88436.0,93827.0,93326.0,88433.0,88433.0,1,5394.0
40095,154.00,1384.00,5,10,10,2,44402.0,37994.0,37994.0,44402.0,44402.0,4,0.0
40096,206.00,1603.00,5,10,10,2,103747.0,101070.0,100569.0,103744.0,103744.0,0,3.0
40097,154.00,1560.00,5,10,10,2,52149.0,54940.0,54972.0,52157.0,52149.0,2,2823.0
40098,206.00,1603.00,5,10,10,2,120874.0,121504.0,121003.0,120874.0,120872.0,1,632.0
40099,154.00,1431.00,5,11,10,2,80099.0,76039.0,74643.0,80093.0,80093.0,0,6.0
40100,154.00,1384.00,5,10,10,2,60239.0,55465.0,55465.0,60239.0,60239.0,4,0.0
40101,206.00,1622.00,5,10,10,2,112223.0,114364.0,113864.0,112223.0,112230.0,1,2134.0
40102,187.00,1516.00,5,10,10,2,74772.0,74653.0,99930.0,74772.0,74773.0,2,25157.0
40103,216.00,1665.00,5,10,10,2,144284.0,147341.0,146840.0,144284.0,144278.0,1,3063.0
40104,216.00,1674.00,5,10,10,2,126100.0,126921.0,126425.0,126100.0,126100.0,1,821.0
40105,154.00,1542.00,5,10,10,2,82573.0,81639.0,81639.0,82573.0,82573.0,4,0.0
40106,154.00,1542.00,5,10,10,2,76147.0,71652.0,71652.0,76147.0,76141.0,0,6.0
40107,187.00,1676.00,5,10,10,2,137176.0,142560.0,135695.0,137176.0,137176.0,1,5384.0
40108,154.00,1464.00,5,10,10,2,65205.0,71264.0,71503.0,65205.0,65194.0,2,6309.0
40109,187.00,1667.00,5,10,10,2,110377.0,114918.0,80035.0,110386.0,110386.0,1,4532.0
40110,216.00,1655.00,5,10,10,2,48837.0,48171.0,47672.0,48837.0,48829.0,0,8.0
40111,187.00,1516.00,5,10,10,2,47676.0,47102.0,54198.0,47676.0,47676.0,2,6522.0
40112,154.00,1384.00,5,10,10,2,73599.0,75024.0,75024.0,73599.0,73599.0,1,1425.0
40113,206.00,1613.00,5,10,10,2,97049.0,99112.0,98613.0,97060.0,97060.0,1,2052.0
40114,187.00,1519.00,5,10,10,2,41577.0,41066.0,55465.0,41577.0,41577.0,2,13888.0
40115,206.00,1681.00,5,10,10,2,108878.0,113391.0,112890.0,108878.0,108878.0,1,4513.0
40116,154.00,1394.00,5,10,10,2,44937.0,54235.0,54235.0,44938.0,44938.0,1,9297.0
40117,154.00,1280.00,4,11,10,2,90479.0,80385.0,80385.0,90479.0,90479.0,4,0.0
40118,206.00,1603.00,5,10,10,2,93240.0,97817.0,97319.0,93240.0,93240.0,1,4577.0
40119,216.00,1655.00,5,10,10,2,102980.0,102459.0,101960.0,102980.0,102973.0,0,7.0
40120,206.00,1681.00,5,10,10,2,78052.0,83569.0,83071.0,78044.0,78052.0,1,5517.0
40121,154.00,1384.00,5,10,10,2,65894.0,61852.0,61852.0,65894.0,65894.0,4,0.0
40122,206.00,1610.00,5,10,10,2,73280.0,73422.0,72923.0,73275.0,73275.0,1,147.0
40123,154.00,1464.00,5,10,10,2,86554.0,66892.0,67104.0,86548.0,86548.0,0,6.0
40124,187.00,1509.00,5,10,10,2,62300.0,61374.0,42855.0,62300.0,62304.0,4,0.0
40125,154.00,1384.00,5,10,10,2,83860.0,63069.0,63069.0,83860.0,83860.0,4,0.0
40126,187.00,1509.00,5,10,10,2,80108.0,80042.0,72855.0,80110.0,80110.0,4,0.0
40127,206.00,1610.00,5,10,10,2,84079.0,87176.0,86677.0,84079.0,84079.0,1,3097.0
40128,154.00,1462.00,5,10,10,2,59070.0,96580.0,96808.0,59070.0,59063.0,2,37745.0
40129,187.00,1676.00,5,10,10,2,73287.0,78474.0,70378.0,73279.0,73287.0,1,5187.0
40130,206.00,1693.00,5,10,10,2,98455.0,102948.0,102452.0,98455.0,98455.0,1,4493.0
40131,154.00,1394.00,5,10,10,2,38397.0,38518.0,38518.0,38397.0,38399.0,1,119.0
40132,216.00,1655.00,5,10,10,2,86732.0,86176.0,85675.0,86732.0,86726.0,0,6.0
40133,206.00,1610.00,5,10,10,2,64501.0,63540.0,63041.0,64501.0,64501.0,4,0.0
40134,206.00,1606.00,5,10,10,2,105067.0,104873.0,104402.0,105067.0,105067.0,4,0.0
40135,206.00,1681.00,5,10,10,2,73316.0,78677.0,78138.0,73510.0,73316.0,1,5361.0
40136,154.00,1403.00,5,10,10,2,26418.0,33137.0,33130.0,26418.0,26418.0,1,6719.0
40137,187.00,1519.00,5,10,10,2,47830.0,47212.0,63966.0,47822.0,47830.0,2,16136.0
40138,187.00,1680.00,5,10,10,2,80791.0,86068.0,68653.0,80786.0,80791.0,1,5277.0
40139,216.00,1655.00,5,10,10,2,106290.0,106650.0,106149.0,106289.0,106290.0,1,360.0
40140,216.00,1655.00,5,10,10,2,114335.0,118231.0,117732.0,114343.0,114343.0,1,3888.0
40141,154.00,1462.00,5,10,10,2,103763.0,105890.0,106142.0,103763.0,103763.0,2,2379.0
40142,187.00,1509.00,5,10,10,2,88280.0,90493.0,43888.0,88282.0,88282.0,1,2211.0
40143,154.00,1384.00,5,10,10,2,80828.0,75142.0,75142.0,80828.0,80828.0,4,0.0
40144,216.00,1655.00,5,10,10,2,124657.0,125303.0,124804.0,124657.0,124664.0,1,639.0
40145,154.00,1384.00,5,10,10,2,39311.0,36378.0,36378.0,39311.0,39311.0,4,0.0
40146,206.00,1543.00,4,11,10,2,93941.0,93508.0,92888.0,93904.0,93941.0,4,0.0
40147,216.00,1655.00,5,10,10,2,85814.0,85201.0,84700.0,85809.0,85814.0,4,0.0
40148,154.00,1384.00,5,10,10,2,73766.0,45297.0,45297.0,73766.0,73766.0,4,0.0
40149,154.00,1542.00,5,10,10,2,62907.0,68859.0,68859.0,62907.0,62907.0,1,5952.0
40150,154.00,1384.00,5,10,10,2,76983.0,71476.0,71476.0,76983.0,76983.0,4,0.0
40151,206.00,1610.00,5,10,10,2,72398.0,72510.0,72009.0,72400.0,72400.0,1,110.0
40152,187.00,1398.00,5,11,10,2,51094.0,89190.0,89190.0,51101.0,51094.0,1,38096.0
40153,216.00,1662.00,5,10,10,2,119726.0,118994.0,118495.0,119719.0,119719.0,0,7.0
40154,187.00,1516.00,5,10,10,2,55266.0,54728.0,40097.0,55267.0,55267.0,4,0.0
40155,187.00,1509.00,5,10,10,2,95727.0,94709.0,68510.0,95725.0,95727.0,4,0.0
40156,187.00,1528.00,5,10,10,2,100406.0,99509.0,85878.0,100417.0,100417.0,4,0.0
40157,206.00,1622.00,5,10,10,2,95632.0,95670.0,95169.0,95632.0,95632.0,1,38.0
40158,206.00,1613.00,5,10,10,2,44012.0,43551.0,43052.0,44012.0,44006.0,0,6.0
40159,206.00,1603.00,5,10,10,2,43683.0,43111.0,42613.0,43695.0,43695.0,4,0.0
40160,206.00,1613.00,5,10,10,2,77284.0,76768.0,76267.0,77284.0,77283.0,4,0.0
40161,206.00,1613.00,5,10,10,2,67958.0,73692.0,73148.0,68158.0,67950.0,1,5742.0
40162,206.00,1681.00,5,10,10,2,120176.0,124964.0,124463.0,120177.0,120177.0,1,4787.0
40163,187.00,1667.00,5,10,10,2,80702.0,86045.0,101556.0,80702.0,80713.0,2,20843.0
40164,216.00,1662.00,5,10,10,2,116088.0,116019.0,115518.0,116088.0,116088.0,4,0.0
40165,154.00,1462.00,5,10,10,2,69352.0,98027.0,98254.0,69348.0,69348.0,2,28906.0
40166,154.00,1403.00,5,10,10,2,25582.0,49944.0,49937.0,25595.0,25582.0,1,24362.0
40167,154.00,1554.00,5,10,10,2,65162.0,70045.0,70045.0,65162.0,65161.0,1,4884.0
40168,187.00,1399.00,4,11,10,2,52738.0,54835.0,54835.0,52738.0,52738.0,1,2097.0
40169,187.00,1528.00,5,10,10,2,90959.0,89463.0,66949.0,90965.0,90959.0,3,6.0
40170,154.00,1551.00,5,10,10,2,52847.0,56432.0,56432.0,52833.0,52847.0,1,3585.0
40171,154.00,1391.00,5,10,10,2,42155.0,49537.0,49537.0,42140.0,42155.0,1,7382.0
40172,206.00,1603.00,5,10,10,2,94502.0,93843.0,93342.0,94506.0,94506.0,4,0.0
40173,206.00,1613.00,5,10,10,2,103935.0,109396.0,108895.0,103933.0,103933.0,1,5463.0
40174,187.00,1516.00,5,10,10,2,80897.0,82740.0,89995.0,80898.0,80898.0,2,9097.0
40175,187.00,1509.00,5,10,10,2,99142.0,99063.0,103575.0,99142.0,99142.0,2,4433.0
40176,206.00,1613.00,5,10,10,2,95629.0,99064.0,98563.0,95629.0,95628.0,1,3436.0
40177,154.00,1560.00,5,10,10,2,49026.0,70773.0,70773.0,49033.0,49033.0,1,21740.0
40178,187.00,1509.00,5,10,10,2,87748.0,87471.0,59107.0,87749.0,87749.0,4,0.0
40179,206.00,1693.00,5,10,10,2,102315.0,106700.0,106199.0,102315.0,102313.0,1,4387.0
40180,154.00,1384.00,5,10,10,2,45393.0,52741.0,52741.0,45393.0,45393.0,1,7348.0
40181,216.00,1550.00,5,11,10,2,120986.0,120450.0,119901.0,120986.0,120979.0,0,7.0
40182,187.00,1509.00,5,10,10,2,58096.0,58023.0,55742.0,58098.0,58098.0,4,0.0
40183,154.00,1560.00,5,10,10,2,57664.0,72827.0,72827.0,57664.0,57664.0,1,15163.0
40184,187.00,1509.00,5,10,10,2,87404.0,88651.0,73080.0,87404.0,87404.0,1,1247.0
40185,206.00,1613.00,5,10,10,2,89274.0,89357.0,88815.0,89306.0,89298.0,1,59.0
40186,154.00,1384.00,5,10,10,2,53968.0,72064.0,72064.0,53968.0,53968.0,1,18096.0
40187,206.00,1613.00,5,10,10,2,87619.0,88088.0,87589.0,87617.0,87619.0,1,469.0
40188,187.00,1516.00,5,10,10,2,71849.0,71581.0,91381.0,71849.0,71849.0,2,19532.0
40189,216.00,1662.00,5,10,10,2,127820.0,128675.0,128176.0,127827.0,127820.0,1,855.0
40190,154.00,1280.00,4,11,10,2,69030.0,62053.0,62053.0,69030.0,69030.0,4,0.0
40191,206.00,1603.00,5,10,10,2,116291.0,117242.0,116744.0,116282.0,116291.0,1,951.0
40192,154.00,1384.00,5,10,10,2,90086.0,76432.0,76432.0,90086.0,90086.0,4,0.0
40193,216.00,1655.00,5,10,10,2,63489.0,62903.0,62405.0,63479.0,63479.0,0,10.0
40194,216.00,1662.00,5,10,10,2,124188.0,123510.0,123009.0,124196.0,124196.0,4,0.0
40195,154.00,1403.00,5,10,10,2,37588.0,27686.0,27672.0,37596.0,37588.0,3,8.0
40196,187.00,1516.00,5,10,10,2,51873.0,51775.0,77278.0,51873.0,51862.0,2,25416.0
40197,187.00,1519.00,5,10,10,2,105445.0,105338.0,71256.0,105445.0,105437.0,0,8.0
40198,216.00,1655.00,5,10,10,2,94582.0,93960.0,93459.0,94581.0,94582.0,4,0.0
40199,154.00,1462.00,5,10,10,2,119699.0,111344.0,111562.0,119688.0,119699.0,4,0.0
40200,187.00,1509.00,5,10,10,2,73301.0,78739.0,104258.0,73309.0,73309.0,2,30949.0
40201,154.00,1384.00,5,10,10,2,45193.0,45121.0,45121.0,45193.0,45193.0,4,0.0
40202,154.00,1551.00,5,10,10,2,55398.0,57742.0,57742.0,55411.0,55398.0,1,2344.0
40203,187.00,1516.00,5,10,10,2,104211.0,104950.0,107525.0,104218.0,104211.0,2,3314.0
40204,187.00,1516.00,5,10,10,2,60863.0,60189.0,66813.0,60863.0,60870.0,2,5943.0
40205,187.00,1509.00,5,10,10,2,112816.0,113385.0,107882.0,112818.0,112818.0,1,567.0
40206,154.00,1394.00,5,10,10,2,48805.0,48789.0,48789.0,48806.0,48806.0,4,0.0
40207,206.00,1622.00,5,10,10,2,112772.0,114750.0,114249.0,112776.0,112776.0,1,1974.0
40208,154.00,1384.00,5,10,10,2,49910.0,63908.0,63908.0,49910.0,49910.0,1,13998.0
40209,187.00,1509.00,5,10,10,2,86194.0,86996.0,87919.0,86204.0,86204.0,2,1715.0
40210,206.00,1613.00,5,10,10,2,87941.0,87270.0,86772.0,87941.0,87941.0,4,0.0
40211,206.00,1499.00,4,11,10,2,84149.0,84189.0,83749.0,84149.0,84149.0,1,40.0
40212,216.00,1655.00,5,10,10,2,99682.0,104516.0,104018.0,99682.0,99672.0,1,4844.0
40213,154.00,1403.00,5,10,10,2,57477.0,29866.0,29996.0,57477.0,57477.0,4,0.0
40214,216.00,1662.00,5,10,10,2,98672.0,98334.0,97835.0,98680.0,98672.0,3,8.0
40215,154.00,1384.00,5,10,10,2,71083.0,68044.0,68044.0,71083.0,71083.0,4,0.0
40216,154.00,1391.00,5,10,10,2,53691.0,42035.0,42035.0,53676.0,53691.0,4,0.0
40217,187.00,1509.00,5,10,10,2,35385.0,35069.0,35621.0,35383.0,35383.0,2,238.0
40218,206.00,1603.00,5,10,10,2,123039.0,123986.0,123487.0,123039.0,123029.0,1,957.0
40219,216.00,1655.00,5,10,10,2,123020.0,123632.0,123131.0,123019.0,123020.0,1,612.0
40220,154.00,1474.00,5,10,10,2,48631.0,60043.0,60043.0,48631.0,48617.0,1,11426.0
40221,154.00,1542.00,5,10,10,2,92543.0,97654.0,97654.0,92553.0,92553.0,1,5101.0
40222,206.00,1499.00,4,11,10,2,95476.0,95007.0,94789.0,95476.0,95476.0,4,0.0
40223,187.00,1528.00,5,10,10,2,94453.0,94817.0,118735.0,94449.0,94453.0,2,24282.0
40224,154.00,1394.00,5,10,10,2,67786.0,76504.0,76504.0,67790.0,67786.0,1,8718.0
40225,187.00,1509.00,5,10,10,2,51999.0,51376.0,43532.0,52002.0,51999.0,3,3.0
40226,187.00,1560.00,4,11,10,2,69155.0,74880.0,84802.0,69155.0,69155.0,2,15647.0
40227,206.00,1603.00,5,10,10,2,72476.0,72053.0,71555.0,72483.0,72483.0,4,0.0
40228,154.00,1384.00,5,10,10,2,92569.0,100555.0,100555.0,92667.0,92569.0,1,7986.0
40229,206.00,1603.00,5,10,10,2,57619.0,57121.0,56620.0,57619.0,57619.0,4,0.0
40230,187.00,1519.00,5,10,10,2,61149.0,60182.0,33469.0,61149.0,61149.0,4,0.0
40231,154.00,1391.00,5,10,10,2,24385.0,43265.0,43265.0,24385.0,24388.0,1,18877.0
40232,216.00,1655.00,5,10,10,2,75148.0,79786.0,79287.0,75148.0,75148.0,1,4638.0
40233,187.00,1509.00,5,10,10,2,60663.0,60115.0,46457.0,60670.0,60663.0,3,7.0
40234,216.00,1655.00,5,10,10,2,123180.0,121308.0,120807.0,123180.0,123180.0,4,0.0
40235,154.00,1462.00,5,10,10,2,78351.0,98047.0,98273.0,78348.0,78348.0,2,19925.0
40236,187.00,1509.00,5,10,10,2,49816.0,49461.0,52080.0,49818.0,49816.0,2,2264.0
40237,206.00,1613.00,5,10,10,2,103984.0,103424.0,102925.0,103994.0,103994.0,4,0.0
40238,206.00,1613.00,5,10,10,2,60817.0,58137.0,57638.0,60824.0,60824.0,4,0.0
40239,216.00,1655.00,5,10,10,2,83949.0,84213.0,83714.0,83940.0,83949.0,1,264.0
40240,206.00,1622.00,5,10,10,2,78145.0,82351.0,81855.0,78145.0,78145.0,1,4206.0
40241,216.00,1655.00,5,10,10,2,122296.0,123148.0,122647.0,122297.0,122297.0,1,851.0
40242,154.00,1542.00,5,10,10,2,57241.0,59197.0,59381.0,57424.0,57246.0,2,2135.0
40243,206.00,1603.00,5,10,10,2,84507.0,84130.0,83632.0,84518.0,84518.0,4,0.0
40244,206.00,1622.00,5,10,10,2,97705.0,96422.0,95922.0,97705.0,97708.0,4,0.0
40245,206.00,1603.00,5,10,10,2,52592.0,51999.0,51498.0,52592.0,52592.0,4,0.0
40246,154.00,1384.00,5,10,10,2,42001.0,31642.0,31642.0,42001.0,42001.0,4,0.0
40247,154.00,1384.00,5,10,10,2,76352.0,85950.0,85950.0,76352.0,76352.0,1,9598.0
40248,154.00,1403.00,5,10,10,2,37537.0,35235.0,35228.0,37537.0,37518.0,0,19.0
40249,206.00,1610.00,5,10,10,2,42538.0,41805.0,41306.0,42538.0,42540.0,4,0.0
40250,206.00,1681.00,5,10,10,2,82250.0,86692.0,86191.0,82250.0,82253.0,1,4439.0
40251,206.00,1613.00,5,10,10,2,94461.0,93804.0,93306.0,94461.0,94457.0,0,4.0
40252,154.00,1403.00,5,10,10,2,57106.0,65834.0,59596.0,57106.0,57109.0,1,8725.0
40253,154.00,1462.00,5,10,10,2,75411.0,104062.0,104309.0,75411.0,75407.0,2,28902.0
40254,216.00,1655.00,5,10,10,2,100119.0,99619.0,99120.0,100119.0,100109.0,0,10.0
40255,216.00,1551.00,4,11,10,2,83267.0,83007.0,82473.0,83267.0,83267.0,4,0.0
40256,154.00,1391.00,5,10,10,2,74012.0,68956.0,68956.0,74012.0,73998.0,0,14.0
40257,154.00,1551.00,5,10,10,2,53903.0,58945.0,58945.0,53903.0,53903.0,1,5042.0
40258,154.00,1384.00,5,10,10,2,61868.0,63617.0,63617.0,61868.0,61862.0,1,1755.0
40259,216.00,1674.00,5,10,10,2,106604.0,106181.0,105684.0,106612.0,106612.0,4,0.0
40260,154.00,1394.00,5,10,10,2,38035.0,47205.0,47205.0,38032.0,38035.0,1,9170.0
40261,154.00,1542.00,5,10,10,2,60894.0,71423.0,71423.0,60897.0,60894.0,1,10529.0
40262,206.00,1603.00,5,10,10,2,76320.0,75410.0,74909.0,76320.0,76318.0,0,2.0
40263,216.00,1662.00,5,10,10,2,143182.0,146239.0,145741.0,143177.0,143182.0,1,3057.0
40264,206.00,1617.00,5,10,10,2,99720.0,99339.0,98870.0,99690.0,99690.0,0,30.0
40265,154.00,1542.00,5,10,10,2,60572.0,63166.0,63166.0,60563.0,60563.0,1,2603.0
40266,154.00,1394.00,5,10,10,2,62663.0,60752.0,60752.0,62663.0,62666.0,4,0.0
40267,206.00,1622.00,5,10,10,2,110530.0,113011.0,112545.0,110497.0,110500.0,1,2511.0
40268,206.00,1603.00,5,10,10,2,60135.0,58008.0,57510.0,60140.0,60140.0,4,0.0
