seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,base_hero,base_opp,base_margin,h_a0,h_a1,h_a2,h_a3,h_a4,h_a5,o_a0,o_a1,o_a2,o_a3,o_a4,o_a5,d_m0,d_m1,d_m2,d_m3,d_m4,d_m5,best_a,max_margin_gain
200005,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,96988.0,97247.0,-259.0,96988.0,60848.0,77458.0,96988.0,54209.0,96988.0,97247.0,62271.0,82646.0,97247.0,54782.0,97247.0,0.0,-1164.0,-4929.0,0.0,-314.0,0.0,0,0.0
210005,1,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,49816.0,49902.0,-86.0,49816.0,109519.0,44930.0,49816.0,55213.0,49816.0,49902.0,109943.0,48266.0,49902.0,55803.0,49902.0,0.0,-338.0,-3250.0,0.0,-504.0,0.0,0,0.0
200006,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,52888.0,51233.0,1655.0,52888.0,90430.0,56483.0,52888.0,52888.0,52888.0,51233.0,90425.0,58321.0,51233.0,51233.0,51233.0,0.0,-1650.0,-3493.0,0.0,0.0,0.0,0,0.0
210006,1,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,78911.0,77717.0,1194.0,78911.0,110339.0,97860.0,78911.0,78410.0,78911.0,77717.0,111148.0,107314.0,77717.0,77712.0,77717.0,0.0,-2003.0,-10648.0,0.0,-496.0,0.0,0,0.0
200007,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,70840.0,68632.0,2208.0,70840.0,119063.0,68601.0,70840.0,70840.0,70840.0,68632.0,120718.0,73365.0,68632.0,68632.0,68632.0,0.0,-3863.0,-6972.0,0.0,0.0,0.0,0,0.0
210007,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,94842.0,94366.0,476.0,94842.0,79104.0,95121.0,94842.0,78815.0,94842.0,94366.0,80489.0,100894.0,94366.0,80858.0,94366.0,0.0,-1861.0,-6249.0,0.0,-2519.0,0.0,0,0.0
200008,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,56286.0,54225.0,2061.0,56286.0,81447.0,45082.0,56286.0,74219.0,56286.0,54225.0,80399.0,48797.0,54225.0,75246.0,54225.0,0.0,-1013.0,-5776.0,0.0,-3088.0,0.0,0,0.0
210008,1,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,85536.0,85827.0,-291.0,85536.0,85406.0,75525.0,85536.0,85037.0,85536.0,85827.0,85859.0,78171.0,85827.0,85823.0,85827.0,0.0,-162.0,-2355.0,0.0,-495.0,0.0,0,0.0
200009,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,95539.0,95119.0,420.0,95539.0,76104.0,107300.0,95539.0,95539.0,95539.0,95119.0,76560.0,114751.0,95119.0,95119.0,95119.0,0.0,-876.0,-7871.0,0.0,0.0,0.0,0,0.0
210009,1,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,63790.0,63548.0,242.0,63790.0,77443.0,58339.0,63790.0,63289.0,63790.0,63548.0,78452.0,64224.0,63548.0,63543.0,63548.0,0.0,-1251.0,-6127.0,0.0,-496.0,0.0,0,0.0
200010,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,60155.0,58750.0,1405.0,60155.0,58781.0,54221.0,60155.0,59654.0,60155.0,58750.0,56656.0,59462.0,58750.0,58745.0,58750.0,0.0,720.0,-6646.0,0.0,-496.0,0.0,1,720.0
210010,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,76304.0,76163.0,141.0,76304.0,61577.0,53205.0,76304.0,69125.0,76304.0,76163.0,63099.0,56024.0,76163.0,69453.0,76163.0,0.0,-1663.0,-2960.0,0.0,-469.0,0.0,0,0.0
200011,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,49967.0,50150.0,-183.0,49967.0,114139.0,48821.0,49967.0,49967.0,49967.0,50150.0,115174.0,51853.0,50150.0,50150.0,50150.0,0.0,-852.0,-2849.0,0.0,0.0,0.0,0,0.0
210011,1,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,82544.0,81996.0,548.0,82544.0,51788.0,85312.0,82544.0,82043.0,82544.0,81996.0,53034.0,89325.0,81996.0,81990.0,81996.0,0.0,-1794.0,-4561.0,0.0,-495.0,0.0,0,0.0
200012,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,91164.0,91197.0,-33.0,91164.0,93711.0,90223.0,91164.0,84034.0,91164.0,91197.0,94952.0,95577.0,91197.0,84774.0,91197.0,0.0,-1208.0,-5321.0,0.0,-707.0,0.0,0,0.0
210012,1,187.00,1507.00,5,2,10,10,2,8,6,21,1441.00,4,2,2,10,6,52217.0,52461.0,-244.0,52217.0,44078.0,67432.0,52217.0,68051.0,52217.0,52461.0,49671.0,67975.0,52461.0,68222.0,52461.0,0.0,-5349.0,-299.0,0.0,73.0,0.0,4,73.0
200013,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,124000.0,132400.0,-8400.0,124000.0,26724.0,122252.0,124000.0,123669.0,124000.0,132400.0,30381.0,132656.0,132400.0,132403.0,132400.0,0.0,4743.0,-2004.0,0.0,-334.0,0.0,1,4743.0
210013,1,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,35756.0,35765.0,-9.0,35756.0,35290.0,47788.0,35756.0,35254.0,35756.0,35765.0,36494.0,50343.0,35765.0,35761.0,35765.0,0.0,-1195.0,-2546.0,0.0,-498.0,0.0,0,0.0
200014,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,80376.0,80314.0,62.0,80376.0,95172.0,74123.0,80376.0,80376.0,80376.0,80314.0,95708.0,78602.0,80314.0,80314.0,80314.0,0.0,-598.0,-4541.0,0.0,0.0,0.0,0,0.0
210014,1,154.00,1551.00,5,2,10,10,2,8,6,21,1551.00,5,2,2,10,6,62467.0,62531.0,-64.0,62467.0,81654.0,54041.0,62467.0,62467.0,62467.0,62531.0,78446.0,55775.0,62531.0,62531.0,62531.0,0.0,3272.0,-1670.0,0.0,0.0,0.0,1,3272.0
200015,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,103648.0,103692.0,-44.0,103648.0,67302.0,109530.0,103648.0,103150.0,103648.0,103692.0,69133.0,119661.0,103692.0,103690.0,103692.0,0.0,-1787.0,-10087.0,0.0,-496.0,0.0,0,0.0
210015,1,154.00,1394.00,5,2,10,10,2,8,6,21,1279.00,5,1,2,10,6,62856.0,54513.0,8343.0,62856.0,40639.0,33772.0,62856.0,62856.0,62856.0,54513.0,39443.0,19999.0,54513.0,54513.0,54513.0,0.0,-7147.0,5430.0,0.0,0.0,0.0,2,5430.0
200016,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,95129.0,95169.0,-40.0,95129.0,144818.0,84864.0,95129.0,94631.0,95129.0,95169.0,147289.0,93215.0,95169.0,95167.0,95169.0,0.0,-2431.0,-8311.0,0.0,-496.0,0.0,0,0.0
210016,1,154.00,1474.00,5,2,10,10,2,8,6,21,1474.00,5,2,2,10,6,58876.0,58157.0,719.0,58876.0,92194.0,58424.0,58876.0,58876.0,58876.0,58157.0,92785.0,61069.0,58157.0,58157.0,58157.0,0.0,-1310.0,-3364.0,0.0,0.0,0.0,0,0.0
200017,0,154.00,1551.00,5,2,10,10,2,8,6,21,1551.00,5,2,2,10,6,70454.0,70396.0,58.0,70454.0,79774.0,72651.0,70454.0,70454.0,70454.0,70396.0,80637.0,76486.0,70396.0,70396.0,70396.0,0.0,-921.0,-3893.0,0.0,0.0,0.0,0,0.0
210017,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,92173.0,90735.0,1438.0,92173.0,72425.0,75776.0,92173.0,92173.0,92173.0,90735.0,73039.0,80730.0,90735.0,90735.0,90735.0,0.0,-2052.0,-6392.0,0.0,0.0,0.0,0,0.0
200018,0,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,74629.0,74507.0,122.0,74629.0,113986.0,69958.0,74629.0,74629.0,74629.0,74507.0,115214.0,74891.0,74507.0,74507.0,74507.0,0.0,-1350.0,-5055.0,0.0,0.0,0.0,0,0.0
210018,1,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,66215.0,62423.0,3792.0,66215.0,125859.0,48529.0,66215.0,65716.0,66215.0,62423.0,126451.0,51395.0,62423.0,62420.0,62423.0,0.0,-4384.0,-6658.0,0.0,-496.0,0.0,0,0.0
200019,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,42512.0,42895.0,-383.0,42512.0,42600.0,70374.0,42512.0,28818.0,42512.0,42895.0,43097.0,75538.0,42895.0,31088.0,42895.0,0.0,-114.0,-4781.0,0.0,-1887.0,0.0,0,0.0
210019,1,187.00,1528.00,5,2,10,10,2,8,6,21,1528.00,5,2,2,10,6,66901.0,63515.0,3386.0,66901.0,121923.0,89632.0,66901.0,60521.0,66901.0,63515.0,122448.0,96716.0,63515.0,60665.0,63515.0,0.0,-3911.0,-10470.0,0.0,-3530.0,0.0,0,0.0
200020,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,69271.0,69183.0,88.0,69271.0,89776.0,74823.0,69271.0,68772.0,69271.0,69183.0,90310.0,78917.0,69183.0,69180.0,69183.0,0.0,-622.0,-4182.0,0.0,-496.0,0.0,0,0.0
210020,1,216.00,1674.00,5,2,10,10,2,8,6,21,1674.00,5,2,2,10,6,137085.0,138090.0,-1005.0,137085.0,74182.0,125866.0,137085.0,136588.0,137085.0,138090.0,75726.0,134881.0,138090.0,138088.0,138090.0,0.0,-539.0,-8010.0,0.0,-495.0,0.0,0,0.0
200021,0,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,76329.0,76599.0,-270.0,76329.0,76743.0,76356.0,76329.0,76329.0,76329.0,76599.0,76903.0,78396.0,76599.0,76599.0,76599.0,0.0,110.0,-1770.0,0.0,0.0,0.0,1,110.0
210021,1,216.00,1674.00,5,2,10,10,2,8,6,21,1674.00,5,2,2,10,6,135636.0,133265.0,2371.0,135636.0,83129.0,123042.0,135636.0,135139.0,135636.0,133265.0,83726.0,131690.0,133265.0,133263.0,133265.0,0.0,-2968.0,-11019.0,0.0,-495.0,0.0,0,0.0
200022,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,59271.0,57332.0,1939.0,59271.0,65896.0,49042.0,59271.0,57706.0,59271.0,57332.0,59220.0,53142.0,57332.0,57643.0,57332.0,0.0,4737.0,-6039.0,0.0,-1876.0,0.0,1,4737.0
210022,1,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,105374.0,104420.0,954.0,105374.0,53180.0,101595.0,105374.0,104875.0,105374.0,104420.0,54556.0,110554.0,104420.0,104417.0,104420.0,0.0,-2330.0,-9913.0,0.0,-496.0,0.0,0,0.0
200023,0,187.00,1404.00,5,1,11,10,2,8,6,21,1519.00,5,2,2,10,6,47580.0,54590.0,-7010.0,47580.0,58541.0,50133.0,47573.0,41270.0,47580.0,54590.0,61158.0,56739.0,54625.0,71200.0,54590.0,0.0,4393.0,404.0,-42.0,-22920.0,0.0,1,4393.0
210023,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,58350.0,58463.0,-113.0,58350.0,85768.0,60531.0,58350.0,58350.0,58350.0,58463.0,83888.0,64752.0,58463.0,58463.0,58463.0,0.0,1993.0,-4108.0,0.0,0.0,0.0,1,1993.0
200024,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,89599.0,89599.0,0.0,89599.0,58143.0,90541.0,89599.0,89823.0,89599.0,89599.0,59442.0,94413.0,89599.0,89567.0,89599.0,0.0,-1299.0,-3872.0,0.0,256.0,0.0,4,256.0
210024,1,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,71504.0,70844.0,660.0,71504.0,28333.0,112964.0,71504.0,54147.0,71504.0,70844.0,29246.0,121255.0,70844.0,55576.0,70844.0,0.0,-1573.0,-8951.0,0.0,-2089.0,0.0,0,0.0
200025,0,206.00,1570.00,4,2,11,10,2,8,6,21,1683.00,5,2,2,10,6,70460.0,72132.0,-1672.0,70460.0,63723.0,91836.0,70460.0,69910.0,70460.0,72132.0,66030.0,101778.0,72132.0,72158.0,72132.0,0.0,-635.0,-8270.0,0.0,-576.0,0.0,0,0.0
210025,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,55495.0,55323.0,172.0,55495.0,108885.0,43025.0,55495.0,45241.0,55495.0,55323.0,109297.0,46557.0,55323.0,43982.0,55323.0,0.0,-584.0,-3704.0,0.0,1087.0,0.0,4,1087.0
200026,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,72926.0,73180.0,-254.0,72926.0,75150.0,83289.0,72926.0,81851.0,72926.0,73180.0,75449.0,85864.0,73180.0,82454.0,73180.0,0.0,-45.0,-2321.0,0.0,-349.0,0.0,0,0.0
210026,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,73798.0,71170.0,2628.0,73798.0,75102.0,66592.0,73798.0,73798.0,73798.0,71170.0,74370.0,69848.0,71170.0,71170.0,71170.0,0.0,-1896.0,-5884.0,0.0,0.0,0.0,0,0.0
200027,0,154.00,1403.00,5,2,10,10,2,8,6,21,1403.00,5,2,2,10,6,34200.0,32453.0,1747.0,34200.0,124298.0,58047.0,34200.0,34199.0,34200.0,32453.0,125055.0,61534.0,32453.0,32601.0,32453.0,0.0,-2504.0,-5234.0,0.0,-149.0,0.0,0,0.0
210027,1,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,93676.0,93333.0,343.0,93676.0,75175.0,70341.0,93676.0,93175.0,93676.0,93333.0,74990.0,72728.0,93333.0,93327.0,93333.0,0.0,-158.0,-2730.0,0.0,-495.0,0.0,0,0.0
200028,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,121207.0,114907.0,6300.0,121207.0,113965.0,97012.0,121207.0,120709.0,121207.0,114907.0,107982.0,103122.0,114907.0,114905.0,114907.0,0.0,-317.0,-12410.0,0.0,-496.0,0.0,0,0.0
210028,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,88543.0,88211.0,332.0,88543.0,68842.0,76039.0,88543.0,88543.0,88543.0,88211.0,66184.0,83306.0,88211.0,88211.0,88211.0,0.0,2326.0,-7599.0,0.0,0.0,0.0,1,2326.0
200029,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,92948.0,92267.0,681.0,92948.0,92708.0,97328.0,92948.0,92449.0,92948.0,92267.0,95040.0,106728.0,92267.0,92264.0,92267.0,0.0,-3013.0,-10081.0,0.0,-496.0,0.0,0,0.0
210029,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,58989.0,59509.0,-520.0,58989.0,47631.0,60403.0,58989.0,58989.0,58989.0,59509.0,48051.0,63975.0,59509.0,59509.0,59509.0,0.0,100.0,-3052.0,0.0,0.0,0.0,1,100.0
200030,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,57793.0,55742.0,2051.0,57793.0,30706.0,69408.0,57793.0,57793.0,57793.0,55742.0,30347.0,76359.0,55742.0,55742.0,55742.0,0.0,-1692.0,-9002.0,0.0,0.0,0.0,0,0.0
210030,1,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,103096.0,101915.0,1181.0,103096.0,106828.0,100992.0,103096.0,102598.0,103096.0,101915.0,107236.0,105061.0,101915.0,101913.0,101915.0,0.0,-1589.0,-5250.0,0.0,-496.0,0.0,0,0.0
200031,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,80263.0,78710.0,1553.0,80263.0,102230.0,75615.0,80263.0,79762.0,80263.0,78710.0,100819.0,76636.0,78710.0,78704.0,78710.0,0.0,-142.0,-2574.0,0.0,-495.0,0.0,0,0.0
210031,1,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,101595.0,101188.0,407.0,101595.0,87359.0,79925.0,101595.0,69234.0,101595.0,101188.0,88240.0,82469.0,101188.0,69082.0,101188.0,0.0,-1288.0,-2951.0,0.0,-255.0,0.0,0,0.0
200032,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,42467.0,43013.0,-546.0,42467.0,66605.0,29935.0,42467.0,42467.0,42467.0,43013.0,65779.0,33516.0,43013.0,43013.0,43013.0,0.0,1372.0,-3035.0,0.0,0.0,0.0,1,1372.0
210032,1,154.00,1551.00,5,2,10,10,2,8,6,21,1551.00,5,2,2,10,6,64881.0,63964.0,917.0,64881.0,63974.0,75211.0,64881.0,64881.0,64881.0,63964.0,64432.0,78561.0,63964.0,63964.0,63964.0,0.0,-1375.0,-4267.0,0.0,0.0,0.0,0,0.0
200033,0,216.00,1658.00,5,2,10,10,2,8,6,21,1545.00,4,2,2,10,6,131431.0,124053.0,7378.0,131431.0,142965.0,116864.0,131468.0,130935.0,131431.0,124053.0,152944.0,118030.0,124054.0,124053.0,124053.0,0.0,-17357.0,-8544.0,36.0,-496.0,0.0,0,0.0
210033,1,154.00,1560.00,5,2,10,10,2,8,6,21,1560.00,5,2,2,10,6,57682.0,58445.0,-763.0,57682.0,128853.0,79574.0,57682.0,57682.0,57682.0,58445.0,131555.0,83802.0,58445.0,58445.0,58445.0,0.0,-1939.0,-3465.0,0.0,0.0,0.0,0,0.0
200034,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,40020.0,40483.0,-463.0,40020.0,39516.0,35970.0,40020.0,39998.0,40020.0,40483.0,41187.0,38935.0,40483.0,41418.0,40483.0,0.0,-1208.0,-2502.0,0.0,-957.0,0.0,0,0.0
210034,1,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,79151.0,77088.0,2063.0,79151.0,119494.0,101231.0,79151.0,78652.0,79151.0,77088.0,120631.0,110315.0,77088.0,77085.0,77088.0,0.0,-3200.0,-11147.0,0.0,-496.0,0.0,0,0.0
200035,0,154.00,1273.00,5,1,11,10,2,8,6,21,1388.00,5,2,2,10,6,47245.0,49992.0,-2747.0,47245.0,48868.0,48806.0,47245.0,47245.0,47245.0,49992.0,51855.0,53772.0,49992.0,49992.0,49992.0,0.0,-240.0,-2219.0,0.0,0.0,0.0,0,0.0
210035,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,88833.0,88997.0,-164.0,88833.0,88329.0,87416.0,88833.0,86628.0,88833.0,88997.0,89701.0,93340.0,88997.0,89323.0,88997.0,0.0,-1208.0,-5760.0,0.0,-2531.0,0.0,0,0.0
200036,0,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,49608.0,49608.0,0.0,49608.0,56110.0,52107.0,49608.0,49608.0,49608.0,49608.0,57836.0,54332.0,49608.0,49608.0,49608.0,0.0,-1726.0,-2225.0,0.0,0.0,0.0,0,0.0
210036,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,87517.0,85598.0,1919.0,87517.0,102170.0,57455.0,87517.0,53050.0,87517.0,85598.0,101461.0,59084.0,85598.0,54648.0,85598.0,0.0,-1210.0,-3548.0,0.0,-3517.0,0.0,0,0.0
200037,0,206.00,1622.00,5,2,10,10,2,8,6,21,1622.00,5,2,2,10,6,103281.0,103207.0,74.0,103281.0,109842.0,94686.0,103281.0,102781.0,103281.0,103207.0,110976.0,103481.0,103207.0,103201.0,103207.0,0.0,-1208.0,-8869.0,0.0,-494.0,0.0,0,0.0
210037,1,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,49942.0,49266.0,676.0,49942.0,67583.0,65093.0,49942.0,49942.0,49942.0,49266.0,64564.0,67261.0,49266.0,49266.0,49266.0,0.0,2343.0,-2844.0,0.0,0.0,0.0,1,2343.0
200038,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,84902.0,84742.0,160.0,84902.0,65108.0,97557.0,84902.0,84403.0,84902.0,84742.0,63379.0,103243.0,84742.0,84741.0,84742.0,0.0,1569.0,-5846.0,0.0,-498.0,0.0,1,1569.0
210038,1,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,84017.0,82743.0,1274.0,84017.0,66459.0,83466.0,84017.0,66771.0,84017.0,82743.0,68337.0,87524.0,82743.0,66380.0,82743.0,0.0,-3152.0,-5332.0,0.0,-883.0,0.0,0,0.0
200039,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,55802.0,55630.0,172.0,55802.0,67217.0,44603.0,55802.0,55802.0,55802.0,55630.0,67885.0,49255.0,55630.0,55630.0,55630.0,0.0,-840.0,-4824.0,0.0,0.0,0.0,0,0.0
210039,1,154.00,1474.00,5,2,10,10,2,8,6,21,1474.00,5,2,2,10,6,69729.0,69849.0,-120.0,69729.0,64862.0,57503.0,69729.0,69729.0,69729.0,69849.0,61467.0,60440.0,69849.0,69849.0,69849.0,0.0,3515.0,-2817.0,0.0,0.0,0.0,1,3515.0
200040,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,134723.0,135406.0,-683.0,134723.0,110010.0,125719.0,134723.0,134222.0,134723.0,135406.0,111628.0,137493.0,135406.0,135401.0,135406.0,0.0,-935.0,-11091.0,0.0,-496.0,0.0,0,0.0
210040,1,187.00,1518.00,5,2,10,10,2,8,6,21,1405.00,4,2,2,10,6,96307.0,93175.0,3132.0,96307.0,63279.0,93594.0,96307.0,93949.0,96307.0,93175.0,70490.0,94535.0,93175.0,90962.0,93175.0,0.0,-10343.0,-4073.0,0.0,-145.0,0.0,0,0.0
200041,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,52314.0,52496.0,-182.0,52314.0,70981.0,88878.0,52314.0,51815.0,52314.0,52496.0,71601.0,93113.0,52496.0,52493.0,52496.0,0.0,-438.0,-4053.0,0.0,-496.0,0.0,0,0.0
210041,1,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,38422.0,39072.0,-650.0,38422.0,89450.0,33324.0,38422.0,38422.0,38422.0,39072.0,89648.0,37182.0,39072.0,39072.0,39072.0,0.0,452.0,-3208.0,0.0,0.0,0.0,1,452.0
200042,0,154.00,1560.00,5,2,10,10,2,8,6,21,1560.00,5,2,2,10,6,55952.0,56307.0,-355.0,55952.0,82207.0,56224.0,55952.0,55952.0,55952.0,56307.0,79756.0,58019.0,56307.0,56307.0,56307.0,0.0,2806.0,-1440.0,0.0,0.0,0.0,1,2806.0
210042,1,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,108515.0,104602.0,3913.0,108515.0,82963.0,87845.0,108515.0,108014.0,108515.0,104602.0,81775.0,92877.0,104602.0,104596.0,104602.0,0.0,-2725.0,-8945.0,0.0,-495.0,0.0,0,0.0
200043,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,83834.0,83401.0,433.0,83834.0,79667.0,87331.0,83834.0,83336.0,83834.0,83401.0,80396.0,95767.0,83401.0,83399.0,83401.0,0.0,-1162.0,-8869.0,0.0,-496.0,0.0,0,0.0
210043,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,53576.0,52353.0,1223.0,53576.0,45437.0,53033.0,53576.0,53576.0,53576.0,52353.0,46067.0,55544.0,52353.0,52353.0,52353.0,0.0,-1853.0,-3734.0,0.0,0.0,0.0,0,0.0
