seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0,alpha_label
170079,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,92106.0,58417.0,91514.0,92106.0,91608.0,92106.0,0,0.0,0
170080,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,72120.0,75603.0,71455.0,72120.0,72369.0,72120.0,1,3483.0,2
170081,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,90802.0,62222.0,75136.0,90802.0,90303.0,90802.0,0,0.0,0
170082,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,69500.0,112554.0,96777.0,69500.0,69500.0,69500.0,1,43054.0,2
170083,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,73602.0,50843.0,70902.0,73602.0,60095.0,73602.0,0,0.0,0
170084,0,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,37428.0,94626.0,25425.0,37428.0,37428.0,37428.0,1,57198.0,2
170085,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,74273.0,83144.0,71803.0,74273.0,74273.0,74273.0,1,8871.0,2
170086,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,55732.0,43606.0,43897.0,55732.0,63612.0,55732.0,4,7880.0,2
170087,0,216.00,1665.00,5,2,10,10,2,8,6,21,1665.00,5,2,2,10,6,103482.0,93212.0,100440.0,103482.0,102981.0,103482.0,0,0.0,0
170088,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,52914.0,78535.0,62585.0,52914.0,52914.0,52914.0,1,25621.0,2
170089,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,79734.0,108633.0,65769.0,79734.0,79734.0,79734.0,1,28899.0,2
170090,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,75299.0,84791.0,71189.0,75299.0,75299.0,75299.0,1,9492.0,2
170091,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,63090.0,97061.0,72586.0,63090.0,80768.0,63090.0,1,33971.0,2
170092,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,77364.0,94576.0,76797.0,77364.0,77364.0,77364.0,1,17212.0,2
170093,0,154.00,1551.00,5,2,10,10,2,8,6,21,1551.00,5,2,2,10,6,59536.0,46933.0,88979.0,59536.0,59536.0,59536.0,2,29443.0,2
170094,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,92810.0,43107.0,103403.0,92810.0,92810.0,92810.0,2,10593.0,2
170095,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,29281.0,49098.0,27474.0,29281.0,29281.0,29281.0,1,19817.0,2
170096,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,106534.0,107781.0,107245.0,106534.0,106755.0,106534.0,1,1247.0,1
170097,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,97832.0,73142.0,92692.0,97832.0,97832.0,97832.0,0,0.0,0
170098,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,97104.0,84896.0,78264.0,97104.0,96603.0,97104.0,0,0.0,0
170099,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,92268.0,98098.0,72317.0,92268.0,91769.0,92268.0,1,5830.0,2
170100,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,75443.0,83544.0,74460.0,75443.0,75692.0,75443.0,1,8101.0,2
170101,0,154.00,1474.00,5,2,10,10,2,8,6,21,1474.00,5,2,2,10,6,74660.0,72097.0,88120.0,74660.0,74660.0,74660.0,2,13460.0,2
170102,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,118770.0,59460.0,108120.0,118770.0,118271.0,118770.0,0,0.0,0
170103,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,71590.0,68215.0,77504.0,71590.0,107774.0,71590.0,4,36184.0,2
170104,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,98892.0,97678.0,105570.0,98892.0,98391.0,98892.0,2,6678.0,2
170105,0,154.00,1382.00,5,2,10,10,2,8,6,21,1316.00,4,2,2,10,6,90438.0,70297.0,99739.0,90438.0,90438.0,90438.0,2,9301.0,2
170106,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,108833.0,69194.0,84144.0,108833.0,98739.0,108833.0,0,0.0,0
170107,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,81228.0,98089.0,107061.0,81228.0,66807.0,81228.0,2,25833.0,2
170108,0,187.00,1528.00,5,2,10,10,2,8,6,21,1528.00,5,2,2,10,6,64592.0,113314.0,77914.0,64592.0,62537.0,64592.0,1,48722.0,2
170109,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,56328.0,68775.0,53885.0,56328.0,55829.0,56328.0,1,12447.0,2
170110,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,80449.0,75915.0,89890.0,80449.0,80449.0,80449.0,2,9441.0,2
170111,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,69460.0,62865.0,63073.0,69460.0,69460.0,69460.0,0,0.0,0
170112,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,114807.0,98275.0,111773.0,114807.0,114306.0,114807.0,0,0.0,0
170113,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,79442.0,83322.0,72523.0,79442.0,80960.0,79442.0,1,3880.0,2
170114,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,59700.0,73751.0,74102.0,59700.0,59700.0,59700.0,2,14402.0,2
170115,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,90221.0,36923.0,100462.0,90221.0,90635.0,90221.0,2,10241.0,2
170116,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,73387.0,93080.0,68442.0,73387.0,77460.0,73387.0,1,19693.0,2
170117,0,216.00,1674.00,5,2,10,10,2,8,6,21,1674.00,5,2,2,10,6,111417.0,46270.0,75212.0,111417.0,110921.0,111417.0,0,0.0,0
170118,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,84498.0,67570.0,80598.0,84498.0,84498.0,84498.0,0,0.0,0
170119,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,68347.0,67425.0,91851.0,68347.0,68347.0,68347.0,2,23504.0,2
170120,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,70155.0,70578.0,62762.0,70155.0,69654.0,70155.0,1,423.0,0
170121,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,56058.0,100085.0,84106.0,56058.0,107951.0,56058.0,4,51893.0,2
170122,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,148615.0,94200.0,135744.0,148615.0,148114.0,148615.0,0,0.0,0
170123,0,206.00,1610.00,5,2,10,10,2,8,6,20,1610.00,5,2,2,10,6,52169.0,87484.0,74976.0,52169.0,51670.0,52169.0,1,35315.0,2
170124,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,112420.0,116131.0,83124.0,112420.0,73701.0,112420.0,1,3711.0,2
170125,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,66991.0,69354.0,75660.0,66991.0,66490.0,66991.0,2,8669.0,2
170126,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,117503.0,69645.0,106623.0,117503.0,117004.0,117503.0,0,0.0,0
170127,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,74392.0,50632.0,66382.0,74392.0,80340.0,74392.0,4,5948.0,2
170128,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,82522.0,59985.0,90702.0,82522.0,64303.0,82522.0,2,8180.0,2
170129,0,187.00,1676.00,5,2,10,10,2,8,6,21,1676.00,5,2,2,10,6,106944.0,85115.0,106592.0,106944.0,111477.0,106944.0,4,4533.0,2
170130,0,187.00,1676.00,5,2,10,10,2,8,6,21,1676.00,5,2,2,10,6,83354.0,66469.0,81752.0,83354.0,73497.0,83354.0,0,0.0,0
170131,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,114631.0,73220.0,109050.0,114631.0,114133.0,114631.0,0,0.0,0
170132,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,101976.0,80378.0,105871.0,101976.0,102226.0,101976.0,2,3895.0,2
170133,0,154.00,1560.00,5,2,10,10,2,8,6,21,1560.00,5,2,2,10,6,69892.0,93810.0,67732.0,69892.0,69892.0,69892.0,1,23918.0,2
170134,0,154.00,1273.00,5,1,11,10,2,8,6,21,1388.00,5,2,2,10,6,66948.0,78976.0,69067.0,66948.0,66948.0,66948.0,1,12028.0,2
170135,0,216.00,1665.00,5,2,10,10,2,8,6,21,1665.00,5,2,2,10,6,94416.0,114735.0,109095.0,94416.0,93915.0,94416.0,1,20319.0,2
170136,0,187.00,1671.00,5,2,10,10,2,8,6,21,1552.00,5,1,2,10,6,91053.0,75855.0,117414.0,91053.0,112792.0,91053.0,2,26361.0,2
170137,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,107494.0,96550.0,109073.0,107494.0,107742.0,107494.0,2,1579.0,1
170138,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,44958.0,94457.0,60227.0,44958.0,44457.0,44958.0,1,49499.0,2
170139,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,65023.0,57695.0,95906.0,65023.0,64522.0,65023.0,2,30883.0,2
170140,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,54370.0,111332.0,27177.0,54370.0,53869.0,54370.0,1,56962.0,2
170141,0,154.00,1280.00,4,2,11,10,2,8,6,21,1397.00,5,2,2,10,6,66984.0,86213.0,64116.0,66984.0,66984.0,66984.0,1,19229.0,2
170142,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,31318.0,72197.0,28999.0,31318.0,30820.0,31318.0,1,40879.0,2
170143,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,37132.0,88741.0,38102.0,37132.0,37132.0,37132.0,1,51609.0,2
170144,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,74135.0,89184.0,98667.0,74135.0,79549.0,74135.0,2,24532.0,2
170145,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,105541.0,79836.0,100990.0,105541.0,103300.0,105541.0,0,0.0,0
170146,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,79698.0,39677.0,83420.0,79698.0,79698.0,79698.0,2,3722.0,2
170147,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,84895.0,120146.0,90583.0,84895.0,84394.0,84895.0,1,35251.0,2
170148,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,128281.0,92820.0,108285.0,128281.0,127780.0,128281.0,0,0.0,0
170149,0,216.00,1658.00,5,2,10,10,2,8,6,21,1545.00,4,2,2,10,6,103331.0,97441.0,93280.0,103303.0,102807.0,103331.0,0,0.0,0
170150,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,112372.0,65147.0,100153.0,112372.0,111873.0,112372.0,0,0.0,0
170151,0,216.00,1665.00,5,2,10,10,2,8,6,21,1665.00,5,2,2,10,6,91877.0,117094.0,106360.0,91877.0,91376.0,91877.0,1,25217.0,2
170152,0,216.00,1674.00,5,2,10,10,2,8,6,21,1674.00,5,2,2,10,6,120450.0,120594.0,106760.0,120450.0,119949.0,120450.0,1,144.0,0
170153,0,154.00,1474.00,5,2,10,10,2,8,6,21,1474.00,5,2,2,10,6,57921.0,46270.0,79775.0,57921.0,57921.0,57921.0,2,21854.0,2
170154,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,111143.0,99261.0,128918.0,111143.0,110642.0,111143.0,2,17775.0,2
170155,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,110854.0,23871.0,101533.0,110854.0,110355.0,110854.0,0,0.0,0
170156,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,86919.0,114301.0,90532.0,86919.0,87144.0,86919.0,1,27382.0,2
170157,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,75300.0,69033.0,76601.0,75300.0,59935.0,75300.0,2,1301.0,1
170158,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,49395.0,87706.0,55738.0,49395.0,48894.0,49395.0,1,38311.0,2
170159,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,43099.0,71313.0,52279.0,43099.0,71531.0,43099.0,4,28432.0,2
170160,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,97776.0,110677.0,86251.0,97776.0,97278.0,97776.0,1,12901.0,2
170161,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,82751.0,84263.0,84063.0,82751.0,82999.0,82751.0,1,1512.0,1
170162,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,86195.0,61326.0,104861.0,86195.0,122226.0,86195.0,4,36031.0,2
170163,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,83949.0,94463.0,67134.0,83949.0,83448.0,83949.0,1,10514.0,2
